Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
R Bhatia,2008-2017,95,91,272.4,1,2020,71,4/15,28.45,7.4,23,1,0,
STR Binny,2010-2019,95,63,99.0,0,758,22,2/14,34.45,7.65,27,0,0,
DW Steyn,2008-2020,95,95,362.4,7,2508,97,3/8,25.85,6.91,22.4,0,0,
CV Varun,2019-2026,95,94,355.4,1,2745,111,5/20,24.72,7.71,19.2,1,1,
S Badrinath,2008-2013,95,-,-,-,-,-,-,-,-,-,-,-,
KM Jadhav,2010-2023,95,-,-,-,-,-,-,-,-,-,-,-,
SO Hetmyer,2019-2026,94,-,-,-,-,-,-,-,-,-,-,-,
SS Tiwary,2008-2021,93,-,-,-,-,-,-,-,-,-,-,-,
Abhishek Sharma,2018-2026,92,36,60.5,0,550,11,2/4,50,9.04,33.1,0,0,
S Dube,2019-2026,92,19,25.4,0,277,6,2/15,46.16,10.79,25.6,0,0,
AJ Finch,2010-2022,92,5,7.1,0,67,1,1/11,67,9.34,43,0,0,
DS Kulkarni,2008-2021,92,92,297.5,8,2474,86,4/14,28.76,8.3,20.7,1,0,
PP Ojha,2008-2015,92,90,316.3,1,2332,89,3/11,26.2,7.36,21.3,0,0,
JA Morkel,2008-2016,91,87,287.1,3,2355,85,4/32,27.7,8.2,20.2,1,0,
DR Smith,2008-2017,91,46,89.5,0,810,26,4/8,31.15,9.01,20.7,1,0,
KV Sharma,2009-2025,90,87,264.1,1,2215,83,4/16,26.68,8.38,19,2,0,
D Padikkal,2020-2026,90,-,-,-,-,-,-,-,-,-,-,-,
R Dravid,2008-2013,89,-,-,-,-,-,-,-,-,-,-,-,
A Nehra,2008-2017,88,88,318.0,2,2495,106,4/10,23.53,7.84,18,1,0,
Ravi Bishnoi,2020-2026,86,85,298.1,1,2494,83,4/41,30.04,8.36,21.5,1,0,
KK Nair,2013-2026,86,-,-,-,-,-,-,-,-,-,-,-,
RD Gaikwad,2020-2026,85,-,-,-,-,-,-,-,-,-,-,-,
Avesh Khan,2017-2026,83,82,294.3,1,2734,93,4/24,29.39,9.28,19,1,0,
JP Duminy,2009-2018,83,49,113.0,0,834,23,4/17,36.26,7.38,29.4,1,0,
YBK Jaiswal,2020-2026,83,1,0.1,0,6,0,-,-,36,-,0,0,
Washington Sundar,2017-2026,83,68,195.4,1,1520,40,3/16,38,7.76,29.3,0,0,
EJG Morgan,2010-2021,83,-,-,-,-,-,-,-,-,-,-,-,
RP Singh,2008-2016,82,82,295.5,2,2338,90,4/22,25.97,7.9,19.7,2,0,
CH Morris,2013-2021,81,81,286.4,1,2295,95,4/23,24.15,8,18.1,4,0,
RD Chahar,2017-2026,80,79,282.2,1,2196,75,4/27,29.28,7.77,22.5,1,0,
PJ Cummins,2014-2026,80,80,301.3,2,2680,87,4/34,30.8,8.88,20.7,1,0,
AC Gilchrist,2008-2013,80,1,0.1,0,0,1,1/0,0,0,1,0,0,
DPMD Jayawardene,2008-2013,80,-,-,-,-,-,-,-,-,-,-,-,
KS Williamson,2015-2024,79,2,3.0,0,31,0,-,-,10.33,-,0,0,
PP Shaw,2018-2024,79,-,-,-,-,-,-,-,-,-,-,-,
AB Dinda,2008-2017,78,75,252.4,3,2073,69,4/18,30.04,8.2,21.9,1,0,
M Prasidh Krishna,2018-2026,78,78,288.5,3,2598,90,4/28,28.86,8.99,19.2,3,0,
V Shankar,2014-2025,78,22,39.4,0,344,9,2/19,38.22,8.67,26.4,0,0,
SR Tendulkar,2008-2013,78,4,6.0,0,58,0,-,-,9.66,-,0,0,
KK Ahmed,2018-2026,76,76,276.1,4,2474,91,3/21,27.18,8.95,18.2,0,0,
SK Trivedi,2008-2013,76,75,251.0,2,1904,65,4/25,29.29,7.58,23.1,1,0,
MM Ali,2018-2025,73,57,142.2,1,1029,41,4/26,25.09,7.22,20.8,1,0,
L Balaji,2008-2014,73,73,252.1,2,2028,76,5/24,26.68,8.04,19.9,3,1,
T Natarajan,2017-2026,73,72,257.4,2,2374,72,4/19,32.97,9.21,21.4,1,0,
RK Singh,2018-2026,73,-,-,-,-,-,-,-,-,-,-,-,
S Nadeem,2011-2021,72,70,235.5,2,1784,48,3/16,37.16,7.56,29.4,0,0,
Abdul Samad,2020-2026,71,7,9.3,0,125,2,1/9,62.5,13.15,28.5,0,0,
Shakib Al Hasan,2011-2021,71,70,247.2,1,1839,63,3/17,29.19,7.43,23.5,0,0,
SE Marsh,2008-2017,71,-,-,-,-,-,-,-,-,-,-,-,
KC Sangakkara,2008-2013,71,-,-,-,-,-,-,-,-,-,-,-,
JM Sharma,2022-2026,71,-,-,-,-,-,-,-,-,-,-,-,
M Morkel,2009-2016,70,70,271.3,3,2089,77,4/20,27.12,7.69,21.1,1,0,
VR Iyer,2021-2026,69,9,13.3,0,143,3,2/29,47.66,10.59,27,0,0,
AK Markram,2021-2026,69,24,37.1,0,357,6,2/30,59.5,9.6,37.1,0,0,
JC Archer,2018-2026,68,68,263.0,4,2161,84,3/15,25.72,8.21,18.7,0,0,
MR Marsh,2010-2026,68,34,93.2,1,795,37,4/25,21.48,8.51,15.1,2,0,
NT Tilak Varma,2022-2026,68,4,3.4,0,28,0,-,-,7.63,-,0,0,
A Badoni,2022-2026,66,8,6.5,0,63,4,2/4,15.75,9.21,10.2,0,0,
TH David,2021-2026,66,1,1.0,0,18,0,-,-,18,-,0,0,
BJ Hodge,2008-2014,66,20,39.0,0,303,17,4/13,17.82,7.76,13.7,1,0,
M Muralidaran,2008-2014,66,66,254.0,1,1696,63,3/11,26.92,6.67,24.1,0,0,
Y Venugopal Rao,2008-2014,65,20,36.0,0,337,6,2/23,56.16,9.36,36,0,0,
Prabhsimran Singh,2019-2026,65,-,-,-,-,-,-,-,-,-,-,-,
SM Curran,2019-2025,64,63,208.5,0,2033,59,4/11,34.45,9.73,21.2,1,0,
DJ Hussey,2008-2014,64,26,52.5,0,474,8,2/2,59.25,8.97,39.6,0,0,
M Shahrukh Khan,2021-2026,64,3,3.0,0,28,1,1/13,28,9.33,18,0,0,
H Klaasen,2018-2026,64,-,-,-,-,-,-,-,-,-,-,-,
MM Patel,2008-2017,63,63,225.5,5,1698,74,5/21,22.94,7.51,18.3,2,1,
Shahbaz Ahmed,2020-2026,63,50,109.1,0,1069,27,3/7,39.59,9.79,24.2,0,0,
MC Henriques,2009-2021,62,60,158.2,0,1289,42,3/12,30.69,8.14,22.6,0,0,
JP Faulkner,2011-2017,60,60,204.3,4,1778,59,5/16,30.13,8.69,20.7,0,2,
Mustafizur Rahman,2016-2025,60,60,227.2,2,1849,65,4/29,28.44,8.13,20.9,1,0,
AM Nayar,2008-2014,60,19,38.1,0,322,9,3/13,35.77,8.43,25.4,0,0,
SC Ganguly,2008-2012,59,20,46.0,0,363,10,2/21,36.3,7.89,27.6,0,0,
Imran Tahir,2014-2021,59,59,219.2,1,1703,82,4/12,20.76,7.76,16,3,0,
SB Jakati,2009-2017,59,57,180.5,1,1451,47,4/22,30.87,8.02,23,2,0,
MEK Hussey,2008-2015,59,-,-,-,-,-,-,-,-,-,-,-,
SN Khan,2015-2026,58,1,0.2,0,6,0,-,-,18,-,0,0,
MA Starc,2014-2026,58,55,196.3,1,1727,76,5/35,22.72,8.78,15.5,3,1,
DC Jurel,2023-2026,58,-,-,-,-,-,-,-,-,-,-,-,
JO Holder,2013-2026,57,57,204.1,0,1751,70,4/24,25.01,8.57,17.5,2,0,
RM Patidar,2021-2026,57,-,-,-,-,-,-,-,-,-,-,-,
