Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,1,4.0,0,40,1,1/40,40,10,24,0,0
AB Agarkar,2008-2013,42,22,12,179,39,17.9,154,116.23,0,0,1,13,5,42,130.2,0,1151,29,3/25,39.68,8.83,26.9,0,0
AB Barath,2010-2010,3,3,1,42,33,21,42,100,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,2008-2017,78,17,7,26,7,2.6,48,54.16,0,0,6,2,0,75,252.4,3,2073,69,4/18,30.04,8.2,21.9,1,0
AB McDonald,2009-2013,11,9,4,123,33*,24.6,100,123,0,0,1,9,4,10,31.0,0,261,11,2/25,23.72,8.41,16.9,0,0
AB de Villiers,2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251,-,-,-,-,-,-,-,-,-,-,-
AC Blizzard,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,-,-,-,-,-,-,-,-,-,-,-
AC Gilchrist,2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,1,0.1,0,0,1,1/0,0,0,1,0,0
AC Thomas,2011-2012,15,4,2,20,12,10,19,105.26,0,0,0,1,1,15,52.3,2,406,14,3/22,29,7.73,22.5,0,0
AC Voges,2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,7,9.0,0,76,0,-,-,8.44,-,0,0
AD Hales,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,-,-,-,-,-,-,-,-,-,-,-
AD Mascarenhas,2008-2013,13,11,2,79,27,8.77,78,101.28,0,0,2,5,1,13,51.2,1,356,19,5/25,18.73,6.93,16.2,0,1
AD Mathews,2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,44,131.5,0,1079,27,4/19,39.96,8.18,29.2,1,0
AD Nath,2016-2019,14,10,0,90,24,9,98,91.83,0,0,1,7,2,-,-,-,-,-,-,-,-,-,-,-
AD Russell,2012-2025,140,115,21,2651,88*,28.2,1522,174.17,0,12,6,186,223,121,301.0,0,2863,123,5/15,23.27,9.51,14.6,2,1
AF Milne,2016-2026,11,7,3,25,15,6.25,31,80.64,0,0,1,0,1,11,37.5,0,368,7,2/21,52.57,9.72,32.4,0,0
AG Murtaza,2010-2013,12,3,2,10,5,10,14,71.42,0,0,0,1,0,12,44.0,0,313,9,3/15,34.77,7.11,29.3,0,0
AG Paunikar,2010-2011,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0,-,-,-,-,-,-,-,-,-,-,-
AJ Finch,2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78,5,7.1,0,67,1,1/11,67,9.34,43,0,0
AJ Hosein,2023-2026,8,4,4,21,16*,-,13,161.53,0,0,0,1,1,8,28.4,1,238,9,4/17,26.44,8.3,19.1,1,0
AJ Turner,2019-2024,6,6,1,24,16,4.8,28,85.71,0,0,3,0,2,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,2017-2022,30,13,4,91,25,10.11,76,119.73,0,0,2,6,5,30,114.0,0,979,42,5/17,23.3,8.58,16.2,3,1
AK Markram,2021-2026,69,66,11,1671,68*,30.38,1233,135.52,0,10,3,131,68,24,37.1,0,357,6,2/30,59.5,9.6,37.1,0,0
AL Menaria,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,12,18.2,0,144,3,2/20,48,7.85,36.6,0,0
AM Ghazanfar,2026-2026,11,1,1,2,2*,-,3,66.66,0,0,0,0,0,11,38.5,0,389,15,2/17,25.93,10.01,15.5,0,0
AM Nayar,2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,19,38.1,0,322,9,3/13,35.77,8.43,25.4,0,0
AM Rahane,2008-2026,212,197,19,5367,105*,30.15,4273,125.6,2,35,15,539,141,1,1.0,0,5,1,1/5,5,5,6,0,0
AM Salvi,2009-2011,7,-,-,-,-,-,-,-,-,-,-,-,-,7,25.0,0,200,7,2/19,28.57,8,21.4,0,0
AN Ahmed,2010-2015,17,6,5,36,18*,36,26,138.46,0,0,0,4,1,17,57.2,1,498,12,2/13,41.5,8.68,28.6,0,0
AN Ghosh,2009-2009,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-
AP Dole,2010-2010,3,2,0,34,30,17,22,154.54,0,0,0,3,1,3,11.0,0,112,5,2/36,22.4,10.18,13.2,0,0
AP Majumdar,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2,-,-,-,-,-,-,-,-,-,-,-
AP Tare,2010-2017,35,28,4,339,59,14.12,273,124.17,0,1,5,40,11,-,-,-,-,-,-,-,-,-,-,-
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
AR Patel,2014-2026,176,135,39,2089,66,21.76,1562,133.73,0,4,9,146,100,172,594.3,2,4406,139,4/21,31.69,7.41,25.6,1,0
AR Sharma,2024-2026,32,26,7,564,66*,29.68,334,168.86,0,2,0,39,40,-,-,-,-,-,-,-,-,-,-,-
AS Joseph,2019-2024,22,7,6,27,15*,27,32,84.37,0,0,1,3,0,22,72.2,1,691,21,6/12,32.9,9.55,20.6,0,1
AS Rajpoot,2013-2020,29,7,2,26,8,5.2,41,63.41,0,0,0,2,1,29,88.1,1,814,24,5/14,33.91,9.23,22,0,1
AS Raut,2009-2011,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,5,5.0,0,44,0,-,-,8.8,-,0,0
AS Roy,2019-2026,26,14,6,78,29*,9.75,64,121.87,0,0,5,6,2,22,53.5,0,479,15,2/19,31.93,8.89,21.5,0,0
AS Tendulkar,2023-2026,6,2,1,18,13,18,14,128.57,0,0,0,0,1,6,16.1,0,150,4,1/9,37.5,9.27,24.2,0,0
AS Yadav,2008-2008,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,-,-,-,-,-,-,-,-,-,-,-
AT Carey,2020-2020,3,3,1,32,14*,16,29,110.34,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
AT Rayudu,2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173,-,-,-,-,-,-,-,-,-,-,-
AU Rashid,2021-2023,3,2,0,22,18,11,16,137.5,0,0,0,2,1,3,10.0,0,91,2,2/23,45.5,9.1,30,0,0
AU Verma,2025-2026,24,20,5,315,74,21,196,160.71,0,1,0,18,25,-,-,-,-,-,-,-,-,-,-,-
AUK Pathan,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,3,6.3,0,63,0,-,-,9.69,-,0,0
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Abdul Samad,2020-2026,71,60,16,857,45,19.47,576,148.78,0,0,4,55,55,7,9.3,0,125,2,1/9,62.5,13.15,28.5,0,0
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,1,2.0,0,29,0,-,-,14.5,-,0,0
Abhinandan Singh,2026-2026,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9.4,0,122,3,2/30,40.66,12.62,19.3,0,0
Abhishek Sharma,2018-2026,92,89,8,2379,141,29.37,1389,171.27,2,13,6,224,144,36,60.5,0,550,11,2/4,50,9.04,33.1,0,0
Abishek Porel,2023-2026,35,33,3,769,65,25.63,529,145.36,0,4,2,80,28,-,-,-,-,-,-,-,-,-,-,-
Akash Deep,2022-2025,14,5,2,25,17,8.33,14,178.57,0,0,2,2,2,14,46.2,1,548,10,3/45,54.8,11.82,27.8,0,0
Akash Singh,2021-2026,12,-,-,-,-,-,-,-,-,-,-,-,-,12,41.1,0,406,13,3/26,31.23,9.86,19,0,0
Akshat Raghuwanshi,2026-2026,3,2,0,29,18,14.5,25,116,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-
Aman Hakim Khan,2022-2023,12,10,1,115,51,12.77,104,110.57,0,1,1,8,6,1,1.0,0,13,0,-,-,13,-,0,0
Anand Rajan,2011-2013,8,-,-,-,-,-,-,-,-,-,-,-,-,8,24.5,0,201,8,3/27,25.12,8.09,18.6,0,0
Anirudh Singh,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1,-,-,-,-,-,-,-,-,-,-,-
Ankit Sharma,2012-2018,22,10,3,87,30,12.42,67,129.85,0,0,1,7,4,21,61.1,0,450,12,2/20,37.5,7.35,30.5,0,0
Ankit Soni,2017-2017,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,6,18.1,0,144,2,1/16,72,7.92,54.5,0,0
Anmolpreet Singh,2021-2024,9,9,0,139,36,15.44,115,120.86,0,0,1,19,3,-,-,-,-,-,-,-,-,-,-,-
Anuj Rawat,2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,-,-,-,-,-,-,-,-,-,-,-
Anureet Singh,2009-2018,23,8,4,36,15,9,47,76.59,0,0,2,2,1,22,68.4,0,623,18,3/23,34.61,9.07,22.8,0,0
Arshad Khan,2023-2026,27,14,7,147,58*,21,99,148.48,0,1,1,7,11,25,62.4,0,693,18,3/22,38.5,11.05,20.8,0,0
Arshdeep Singh,2019-2026,96,15,9,32,10*,5.33,47,68.08,0,0,3,4,0,95,338.4,2,3111,111,5/32,28.02,9.18,18.3,2,1
Ashok Sharma,2026-2026,6,2,2,1,1*,-,4,25,0,0,0,0,0,6,21.0,0,228,6,2/32,38,10.85,21,0,0
Ashwani Kumar,2025-2026,10,1,1,1,1*,-,6,16.66,0,0,0,0,0,10,30.3,0,334,17,4/24,19.64,10.95,10.7,2,0
Auqib Nabi,2026-2026,5,2,1,14,10*,14,4,350,0,0,0,2,1,5,13.0,0,149,0,-,-,11.46,-,0,0
Avesh Khan,2017-2026,83,18,14,68,19*,17,43,158.13,0,0,1,7,4,82,294.3,1,2734,93,4/24,29.39,9.28,19,1,0
Azhar Mahmood,2012-2015,23,21,2,388,80,20.42,303,128.05,0,2,2,39,13,23,89.3,0,700,29,3/20,24.13,7.82,18.5,0,0
Azmatullah Omarzai,2024-2026,19,11,1,151,38,15.1,101,149.5,0,0,0,11,10,18,59.0,0,568,15,2/27,37.86,9.62,23.6,0,0
B Akhil,2008-2011,15,11,5,76,27*,12.66,55,138.18,0,0,2,5,5,13,31.2,0,242,6,2/17,40.33,7.72,31.3,0,0
B Chipli,2008-2013,23,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,1,1.0,0,20,0,-,-,20,-,0,0
B Geeves,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,91,1,1/50,91,11.37,48,0,0
B Indrajith,2022-2022,3,3,0,21,15,7,30,70,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-
B Kumar,2011-2026,206,78,40,354,27,9.31,377,93.89,0,0,6,34,4,206,766.4,14,5913,226,5/19,26.16,7.71,20.3,3,2
B Laughlin,2013-2018,9,4,2,5,4*,2.5,13,38.46,0,0,2,0,0,9,27.5,0,282,10,2/15,28.2,10.13,16.7,0,0
B Lee,2008-2013,38,19,9,124,25,12.4,97,127.83,0,0,1,8,8,38,145.5,3,1095,25,3/15,43.8,7.5,35,0,0
B Muzarabani,2026-2026,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7.0,0,75,4,4/41,18.75,10.71,10.5,1,0
B Sai Sudharsan,2022-2026,57,57,5,2515,108*,48.36,1686,149.16,3,20,1,258,82,-,-,-,-,-,-,-,-,-,-,-
B Stanlake,2017-2018,6,1,1,5,5*,-,2,250,0,0,0,1,0,6,24.0,0,200,7,2/21,28.57,8.33,20.5,0,0
B Sumanth,2010-2010,5,4,3,35,16,35,37,94.59,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
BA Bhatt,2011-2013,17,2,1,6,6*,6,7,85.71,0,0,1,0,1,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0
BA Stokes,2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32,38,114.5,2,992,28,3/15,35.42,8.63,24.6,0,0
BAW Mendis,2008-2013,10,3,1,3,2,1.5,6,50,0,0,1,0,0,10,40.0,0,285,8,2/19,35.62,7.12,30,0,0
BB McCullum,2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,-,-,-,-,-,-,-,-,-,-,-
BB Samantray,2012-2013,9,8,3,125,55,25,113,110.61,0,1,1,13,2,-,-,-,-,-,-,-,-,-,-,-
BB Sran,2015-2019,24,9,8,10,3*,10,14,71.42,0,0,0,0,0,24,80.3,0,757,18,3/28,42.05,9.4,26.8,0,0
BCJ Cutting,2014-2019,21,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,17,46.5,0,429,10,2/20,42.9,9.16,28.1,0,0
BE Hendricks,2014-2015,7,3,2,1,1*,1,3,33.33,0,0,1,0,0,7,25.0,0,235,9,3/36,26.11,9.4,16.6,0,0
BJ Dwarshuis,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,51,1,1/51,51,12.75,24,0,0
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-
BJ Hodge,2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,20,39.0,0,303,17,4/13,17.82,7.76,13.7,1,0
BJ Rohrer,2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,1,1.0,0,12,0,-,-,12,-,0,0
BKG Mendis,2025-2025,1,1,0,20,20,20,10,200,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-
BMAJ Mendis,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0,2,5.0,0,36,1,1/16,36,7.2,30,0,0
BR Dunk,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-
BR Sharath,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
BW Hilfenhaus,2012-2014,17,1,1,0,0*,-,0,-,0,0,0,0,0,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0
Basil Thampi,2017-2022,25,8,7,32,13*,32,35,91.42,0,0,0,1,1,25,86.5,1,846,22,3/29,38.45,9.74,23.6,0,0
Bipul Sharma,2010-2017,33,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,28,71.0,0,572,17,2/13,33.64,8.05,25,0,0
Brijesh Sharma,2026-2026,13,2,2,2,1*,-,4,50,0,0,0,0,0,13,45.3,0,450,14,2/18,32.14,9.89,19.5,0,0
C Bosch,2025-2026,9,6,3,97,32*,32.33,63,153.96,0,0,0,8,5,8,27.1,1,250,13,4/26,19.23,9.2,12.5,1,0
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,1,1.0,0,13,0,-,-,13,-,0,0
C Green,2023-2026,43,42,15,1029,100*,38.11,681,151.1,1,4,1,84,49,39,95.1,0,898,23,2/12,39.04,9.43,24.8,0,0
C Madan,2010-2010,1,1,0,15,15,15,19,78.94,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
C Munro,2016-2019,13,12,0,177,40,14.75,141,125.53,0,0,2,19,8,2,2.0,0,15,0,-,-,7.5,-,0,0
C Nanda,2009-2009,3,1,0,0,0,0,1,0,0,0,1,0,0,3,8.0,0,57,2,1/4,28.5,7.12,24,0,0
C Sakariya,2021-2025,20,8,2,20,7,3.33,31,64.51,0,0,1,3,0,20,74.0,1,638,20,3/31,31.9,8.62,22.2,0,0
C de Grandhomme,2017-2019,25,21,5,303,40,18.93,225,134.66,0,0,3,18,18,19,36.0,0,319,6,3/4,53.16,8.86,36,0,0
CA Ingram,2011-2019,15,15,3,205,47,17.08,180,113.88,0,0,0,22,5,-,-,-,-,-,-,-,-,-,-,-
CA Lynn,2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,-,-,-,-,-,-,-,-,-,-,-
CA Pujara,2010-2014,30,22,3,390,51,20.52,391,99.74,0,1,1,50,4,-,-,-,-,-,-,-,-,-,-,-
CH Gayle,2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,38,92.2,0,729,18,3/21,40.5,7.89,30.7,0,0
CH Morris,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,81,286.4,1,2295,95,4/23,24.15,8,18.1,4,0
CJ Anderson,2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,22,49.3,0,518,11,2/18,47.09,10.46,27,0,0
CJ Dala,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,34,0,-,-,11.33,-,0,0
CJ Ferguson,2011-2012,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-
CJ Green,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.5,0,24,0,-,-,8.47,-,0,0
CJ Jordan,2016-2023,34,13,3,81,30,8.1,77,105.19,0,0,1,3,3,34,111.2,1,1070,30,4/11,35.66,9.61,22.2,1,0
CJ McKay,2012-2012,2,1,0,8,8,8,15,53.33,0,0,0,0,0,2,7.0,0,60,1,1/36,60,8.57,42,0,0
CK Kapugedera,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,3,2.5,0,49,0,-,-,17.29,-,0,0
CK Langeveldt,2009-2011,7,2,0,8,8,4,9,88.88,0,0,1,0,1,7,26.0,0,187,13,3/15,14.38,7.19,12,0,0
CL White,2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36,6,7.0,0,86,1,1/14,86,12.28,42,0,0
CM Gautam,2013-2015,13,13,3,169,33,16.9,150,112.66,0,0,0,17,6,-,-,-,-,-,-,-,-,-,-,-
CPL Connolly,2026-2026,14,13,2,491,107*,44.63,301,163.12,1,2,1,43,32,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,2016-2019,16,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,16,42.2,0,379,13,3/47,29.15,8.95,19.5,0,0
CR Woakes,2017-2021,21,12,6,78,18,13,77,101.29,0,0,0,7,2,21,73.2,0,658,30,3/6,21.93,8.97,14.6,0,0
CRD Fernando,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0,10,39.0,0,294,17,4/18,17.29,7.53,13.7,1,0
CV Varun,2019-2026,95,15,9,31,10*,5.16,53,58.49,0,0,2,3,0,94,355.4,1,2745,111,5/20,24.72,7.71,19.2,1,1
D Brevis,2022-2026,27,24,0,606,57,25.25,415,146.02,0,2,3,38,43,1,0.3,0,8,1,1/8,8,16,3,0,0
D Ferreira,2024-2026,18,16,4,326,69,27.16,191,170.68,0,2,1,25,23,3,3.0,0,41,1,1/14,41,13.66,18,0,0
D Jansen,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,53,1,1/53,53,13.25,24,0,0
D Kalyankrishna,2008-2008,3,1,0,3,3,3,8,37.5,0,0,0,0,0,3,8.0,0,87,2,1/30,43.5,10.87,24,0,0
D Madushanka,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,36,1,1/36,36,9,24,0,0
D Padikkal,2020-2026,90,89,4,2270,101*,26.7,1705,133.13,1,14,6,239,80,-,-,-,-,-,-,-,-,-,-,-
D Pretorius,2022-2023,7,5,1,44,22,11,28,157.14,0,0,1,3,3,7,25.0,0,238,6,2/30,39.66,9.52,25,0,0
D Salunkhe,2008-2008,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,5,8.0,0,78,1,1/21,78,9.75,48,0,0
D Wiese,2015-2023,18,11,6,148,47*,29.6,101,146.53,0,0,0,12,7,15,49.2,0,440,16,4/33,27.5,8.91,18.5,1,0
D du Preez,2009-2009,2,1,0,10,10,10,13,76.92,0,0,0,0,0,2,7.0,1,56,4,3/32,14,8,10.5,0,0
DA Miller,2012-2026,152,145,53,3288,101*,35.73,2357,139.49,1,14,5,235,152,-,-,-,-,-,-,-,-,-,-,-
DA Payne,2026-2026,2,1,1,6,6*,-,5,120,0,0,0,0,0,2,5.0,0,70,2,2/35,35,14,15,0,0
DA Warner,2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,1,0.1,0,2,0,-,-,12,-,0,0
DAJ Bracewell,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,1,4.0,0,32,3,3/32,10.66,8,8,0,0
DB Das,2008-2013,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,-,-,-,-,-,-,-,-,-,-,-
DB Ravi Teja,2008-2013,32,25,6,375,60,19.73,317,118.29,0,1,1,35,9,2,3.0,0,28,1,1/19,28,9.33,18,0,0
DC Jurel,2023-2026,58,51,13,1195,81*,31.44,775,154.19,0,10,5,98,62,-,-,-,-,-,-,-,-,-,-,-
DE Bollinger,2010-2012,27,4,3,21,16*,21,23,91.3,0,0,0,1,1,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0
DG Nalkande,2022-2024,6,2,0,12,12,6,12,100,0,0,1,0,1,6,14.0,0,148,6,2/21,24.66,10.57,14,0,0
DH Yagnik,2011-2014,25,17,7,170,34,17,137,124.08,0,0,1,23,2,-,-,-,-,-,-,-,-,-,-,-
DJ Bravo,2008-2022,161,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66,158,519.5,3,4360,183,4/22,23.82,8.38,17,2,0
DJ Harris,2012-2012,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,2,3.0,0,26,0,-,-,8.66,-,0,0
DJ Hooda,2015-2025,125,101,16,1496,64,17.6,1172,127.64,0,8,5,98,62,34,63.1,0,546,10,2/16,54.6,8.64,37.9,0,0
DJ Hussey,2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,26,52.5,0,474,8,2/2,59.25,8.97,39.6,0,0
DJ Jacobs,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4,-,-,-,-,-,-,-,-,-,-,-
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-
DJ Mitchell,2022-2024,15,15,2,351,63,27,267,131.46,0,2,0,28,10,4,8.0,0,97,1,1/18,97,12.12,48,0,0
DJ Muthuswami,2015-2015,6,2,1,1,1,1,3,33.33,0,0,0,0,0,6,14.0,0,101,4,2/18,25.25,7.21,21,0,0
DJ Thornely,2008-2008,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2,4,7.0,0,40,3,2/7,13.33,5.71,14,0,0
DJ Willey,2018-2023,11,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,11,36.0,1,272,6,2/16,45.33,7.55,36,0,0
DJG Sammy,2013-2015,22,20,5,295,60,19.66,241,122.4,0,1,2,15,18,19,39.2,0,350,11,4/22,31.81,8.89,21.4,1,0
DJM Short,2018-2018,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,2,3.0,0,19,1,1/10,19,6.33,18,0,0
DL Chahar,2016-2026,103,21,11,142,39,14.2,103,137.86,0,0,4,8,9,103,344.4,7,2862,96,4/13,29.81,8.3,21.5,2,0
