Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
R Powell,West Indies,All-rounder,Kolkata Knight Riders,2022-2026,40,30,5,555,67.0,True,22.2,390,142.3,0,1,2,38,38,2,3.0,0,35,1,Jan-18,35.0,11.66,18.0,0,0,150,150,1.5,5.010635294096256,1.0,18.5,0.025,0.1948717948717948,0.075,True,True,1,0,Overseas,1,0,0.2689318908227755,-0.7446626458735588,-0.1871856506905749,Low,2,Fair-value Mid-market,-0.433
R Ravindra,New Zealand,All-rounder,Chennai Super Kings,2024-2025,18,18,1,413,65.0,True,24.29,287,143.9,0,2,2,40,16,2,2.0,0,7,0,,,3.5,,0,0,150,400,4.0,5.991464547107982,2.6666666666666665,22.944444444444443,0.0,0.1951219512195122,0.1111111111111111,True,True,1,0,Overseas,2,0,0.3587125136872855,-0.29939328396903,0.0625649047419435,Medium,3,High-performing but Expensive,-0.829
R Sai Kishore,India,All-rounder,Gujarat Titans,2022-2026,28,5,1,18,13.0,False,4.5,16,112.5,0,0,0,0,2,27,77.3,0,697,33,Apr-33,21.12,8.99,14.0,1,0,75,200,2.0,5.298317366548036,2.6666666666666665,3.6,1.1785714285714286,0.125,2.7607142857142857,True,True,0,0,India,0,1,-0.4570475767817511,0.4539440236118207,-0.0471013566046438,Medium,2,Fair-value Mid-market,-0.454
R Shepherd,West Indies,All-rounder,Royal Challengers Bengaluru,2022-2026,33,19,8,268,53.0,True,24.36,153,175.16,0,1,2,18,22,28,60.0,0,706,17,Mar-54,41.52,11.76,21.1,0,0,150,150,1.5,5.010635294096256,1.0,14.105263157894736,0.5151515151515151,0.261437908496732,1.818181818181818,True,True,1,0,Overseas,1,0,0.3098442152278198,-0.448432297316592,-0.0313802154171655,Medium,2,Fair-value Mid-market,-0.21
RA Bawa,India,All-rounder,Mumbai Indians,2022-2026,8,4,1,35,16.0,False,11.66,32,109.37,0,0,1,2,0,2,4.0,0,50,2,01-Nov,25.0,12.5,12.0,0,0,30,30,0.3,3.4011973816621555,1.0,8.75,0.25,0.0625,0.5,True,True,0,1,India,0,0,-0.4251114154954858,-0.5732290425937732,-0.4917643476897152,Low,1,Low-cost / Low-impact,0.367
RA Tripathi,India,Batter,Chennai Super Kings,2017-2025,100,98,11,2291,93.0,False,26.33,1662,137.84,0,12,4,229,85,1,1.0,0,12,0,,,12.0,,0,0,75,340,3.4,5.828945617610208,4.533333333333333,23.377551020408163,0.0,0.1889290012033694,0.01,True,True,0,0,India,12,0,0.9370298290478372,-0.9262583321619916,0.7507010129268543,High,3,High-performing but Expensive,0.282
RD Chahar,India,Bowler,Sunrisers Hyderabad,2017-2026,80,24,8,129,25.0,True,8.06,124,104.03,0,0,8,13,5,79,282.2,1,2196,75,Apr-27,29.28,7.77,22.5,1,0,100,320,3.2,5.768320995793772,3.2,5.375,0.9375,0.1451612903225806,3.5275,True,True,0,0,India,0,1,-0.3916367610468653,0.5908766389091709,0.4434996289157654,High,3,High-performing but Expensive,-0.112
RD Rickelton,South Africa,Wicket-keeper,Mumbai Indians,2025-2026,26,26,2,836,123.0,True,34.83,497,168.2,1,5,0,78,55,0,0.0,0,0,0,,,,,0,0,100,100,1.0,4.605170185988092,1.0,32.15384615384615,0.0,0.2676056338028169,0.0,True,False,1,0,Overseas,6,0,0.9336474214540617,,0.9336474214540617,High,2,Fair-value Mid-market,1.484
RJW Topley,England,Bowler,Mumbai Indians,2023-2025,6,1,1,3,3.0,True,,6,50.0,0,0,0,0,0,6,20.0,0,222,5,Feb-27,44.4,11.1,24.0,0,0,75,75,0.75,4.31748811353631,1.0,3.0,0.8333333333333334,0.0,3.333333333333333,True,True,1,1,Overseas,0,0,-0.8948524944981624,-0.3409431243818853,-0.4240295298993268,Low,1,Low-cost / Low-impact,-0.24
RR Pant,India,Batter,Lucknow Super Giants,2016-2026,139,136,21,3865,128.0,True,33.6,2633,146.79,2,20,7,349,181,0,0.0,0,0,0,,,,,0,0,200,2700,27.0,7.90100705199242,13.5,28.419117647058822,0.0,0.2012913026965438,0.0,True,False,0,0,India,22,0,1.6341058809516995,,1.6341058809516995,High,0,Undervalued / High-value,-0.045
RS Ghosh,India,All-rounder,Chennai Super Kings,2026-2026,1,0,0,0,,False,,0,,0,0,0,0,0,1,3.0,0,24,1,Jan-24,24.0,8.0,18.0,0,0,30,30,0.3,3.4011973816621555,1.0,,1.0,,3.0,False,True,0,1,India,0,0,,0.11487574645319,0.11487574645319,Medium,1,Low-cost / Low-impact,1.236
RS Hangargekar,India,All-rounder,Lucknow Super Giants,2023-2023,2,0,0,0,,False,,0,,0,0,0,0,0,2,6.0,0,60,3,Mar-36,20.0,10.0,12.0,0,0,30,30,0.3,3.4011973816621555,1.0,,1.5,,3.0,False,True,0,1,India,0,0,,0.3095448398350163,0.3095448398350163,Medium,1,Low-cost / Low-impact,1.515
Rahmanullah Gurbaz,Afghanistan,Wicket-keeper,Kolkata Knight Riders,2023-2025,19,18,1,363,81.0,False,21.35,269,134.94,0,2,2,34,22,0,0.0,0,0,0,,,,,0,0,200,200,2.0,5.298317366548036,1.0,20.166666666666668,0.0,0.20817843866171,0.0,True,False,1,0,Overseas,2,0,0.2603944446170875,,0.2603944446170875,Medium,2,Fair-value Mid-market,-0.013
Rasikh Salam,India,Bowler,Royal Challengers Bengaluru,2019-2026,25,8,3,43,10.0,False,8.6,42,102.38,0,0,0,5,0,25,81.2,1,814,29,Apr-24,28.06,10.0,16.8,1,0,30,600,6.0,6.396929655216146,20.0,5.375,1.16,0.119047619047619,3.248,True,True,0,0,India,0,1,-0.4559272445326514,0.2878183920113714,0.176256546529768,Medium,3,High-performing but Expensive,-0.978
S Gopal,India,All-rounder,Chennai Super Kings,2014-2024,52,22,8,180,24.0,False,12.85,169,106.5,0,0,4,19,2,51,165.1,1,1349,52,Apr-16,25.94,8.16,19.0,1,0,30,30,0.3,3.4011973816621555,1.0,8.181818181818182,1.0,0.1242603550295858,3.175,True,True,0,0,India,0,1,-0.3289094417294504,0.4850623294061955,0.0373778552815902,Medium,1,Low-cost / Low-impact,1.125
S Joseph,West Indies,Bowler,Lucknow Super Giants,2024-2024,1,0,0,0,,False,,0,,0,0,0,0,0,1,4.0,0,47,0,,,11.75,,0,0,75,75,0.75,4.31748811353631,1.0,,0.0,,4.0,False,True,1,1,Overseas,0,0,,-0.9078211248621983,-0.9078211248621983,Low,1,Low-cost / Low-impact,-0.933
SB Dubey,India,Batter,Rajasthan Royals,2024-2026,20,17,7,220,34.0,True,22.0,143,153.84,0,0,1,17,13,0,0.0,0,0,0,,,,,0,0,30,80,0.8,4.382026634673881,2.6666666666666665,12.941176470588236,0.0,0.2097902097902098,0.0,True,False,0,0,India,0,0,0.1022206003701684,,0.1022206003701684,Medium,2,Fair-value Mid-market,0.464
SE Rutherford,West Indies,Batter,Gujarat Titans,2019-2026,31,27,6,520,71.0,True,24.76,364,142.85,0,1,2,30,38,6,6.5,0,59,1,01-Jun,59.0,8.63,41.0,0,0,150,260,2.6,5.560681631015528,1.7333333333333334,19.25925925925926,0.032258064516129,0.1868131868131868,0.2096774193548387,True,True,1,0,Overseas,1,0,0.2695831975529323,-0.7833060083419229,0.1642942769634467,Medium,2,Fair-value Mid-market,-0.352
SH Johnson,Australia,Bowler,Kolkata Knight Riders,2024-2026,12,6,5,8,5.0,True,8.0,12,66.66,0,0,1,1,0,12,38.2,0,396,7,Feb-25,56.57,10.33,32.8,0,0,200,280,2.8,5.634789603169249,1.4,1.3333333333333333,0.5833333333333334,0.0833333333333333,3.1833333333333336,True,True,1,0,Overseas,0,0,-0.754177994986909,-0.5319987507771035,-0.5653256374085742,Low,2,Fair-value Mid-market,-1.455
SK Rasheed,India,Batter,Chennai Super Kings,2025-2025,5,5,0,71,27.0,False,14.2,63,112.69,0,0,1,9,2,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,14.2,0.0,0.1746031746031746,0.0,True,False,0,1,India,0,0,-0.1175392534939863,,-0.1175392534939863,Low,1,Low-cost / Low-impact,0.903
SM Curran,England,All-rounder,Chennai Super Kings,2019-2025,64,53,13,997,88.0,False,24.92,731,136.38,0,6,4,85,41,63,208.5,0,2033,59,04-Nov,34.45,9.73,21.2,1,0,200,240,2.4,5.480638923341991,1.2,18.81132075471698,0.921875,0.1723666210670314,3.2578125,True,True,1,0,Overseas,6,1,0.3944014816961851,0.3070840951923954,0.3551086577694798,Medium,2,Fair-value Mid-market,-0.018
SS Iyer,India,Batter,Punjab Kings,2015-2026,147,145,27,4229,101.0,True,35.83,3093,136.72,1,32,7,353,182,1,1.0,0,7,0,,,7.0,,0,0,200,2675,26.75,7.891704659330107,13.375,29.16551724137931,0.0,0.172971225347559,0.0068027210884353,True,True,0,0,India,33,0,1.7955194004309132,-0.5575141861661317,1.5602160417712083,High,0,Undervalued / High-value,-0.144
Sachin Baby,India,Batter,Sunrisers Hyderabad,2013-2025,20,11,2,144,33.0,False,16.0,118,122.03,0,0,1,11,5,2,1.4,0,8,2,02-Apr,4.0,4.8,5.0,0,0,30,30,0.3,3.4011973816621555,1.0,13.090909090909092,0.1,0.135593220338983,0.0699999999999999,True,True,0,0,India,0,0,-0.1415612124959003,0.0323313473388334,-0.1241719565124269,Low,1,Low-cost / Low-impact,0.894
Sameer Rizvi,India,Batter,Delhi Capitals,2024-2026,24,18,4,424,90.0,False,30.28,293,144.7,0,3,3,30,26,0,0.0,0,0,0,,,,,0,0,30,95,0.95,4.553876891600541,3.1666666666666665,23.55555555555556,0.0,0.1911262798634812,0.0,True,False,0,0,India,3,0,0.3857989400770933,,0.3857989400770933,High,2,Fair-value Mid-market,0.739
Shahbaz Ahmed,India,All-rounder,Lucknow Super Giants,2020-2026,63,40,11,603,59.0,True,20.79,489,123.31,0,1,1,33,28,50,109.1,0,1069,27,03-Jul,39.59,9.79,24.2,0,0,100,240,2.4,5.480638923341991,2.4,15.075,0.4285714285714285,0.1247443762781186,1.7317460317460316,True,True,0,0,India,1,0,0.0268877057583043,-0.2887007132254283,-0.1151270827843753,Low,2,Fair-value Mid-market,-0.691
Simarjeet Singh,India,Bowler,Sunrisers Hyderabad,2022-2025,14,6,3,10,3.0,True,3.33,15,66.66,0,0,2,0,0,14,40.0,0,400,11,Mar-26,36.36,10.0,21.8,0,0,30,150,1.5,5.010635294096256,5.0,1.6666666666666667,0.7857142857142857,0.0,2.857142857142857,True,True,0,0,India,0,0,-0.8590293142693459,-0.181256001037495,-0.2829219980222726,Low,2,Fair-value Mid-market,-0.571
Suryansh Shedge,India,All-rounder,Punjab Kings,2025-2026,12,10,3,165,57.0,False,23.57,101,163.36,0,1,0,9,12,1,3.0,0,40,0,,,13.33,,0,0,30,30,0.3,3.4011973816621555,1.0,16.5,0.0,0.2079207920792079,0.25,True,True,0,0,India,1,0,0.221584573308545,-1.02434427499689,-0.3390834084289007,Low,1,Low-cost / Low-impact,0.586
Suyash Sharma,India,Bowler,Royal Challengers Bengaluru,2023-2026,39,0,0,0,,False,,0,,0,0,0,0,0,39,133.5,1,1190,27,Mar-17,44.07,8.89,29.7,0,0,30,260,2.6,5.560681631015528,8.666666666666666,,0.6923076923076923,,3.423076923076923,False,True,0,0,India,0,0,,-0.1340591252512047,-0.1340591252512047,Low,2,Fair-value Mid-market,-0.78
Swapnil Singh,India,All-rounder,Royal Challengers Bengaluru,2016-2024,14,9,4,51,15.0,True,10.2,45,113.33,0,0,2,3,3,14,27.0,0,241,7,Feb-28,34.42,8.92,23.1,0,0,30,50,0.5,3.912023005428146,1.6666666666666667,5.666666666666667,0.5,0.1333333333333333,1.9285714285714288,True,True,0,0,India,0,0,-0.3836746744216465,-0.2737983366599006,-0.3342303224288609,Low,1,Low-cost / Low-impact,0.2
T Natarajan,India,Bowler,Delhi Capitals,2017-2026,73,5,5,4,3.0,True,,7,57.14,0,0,0,0,0,72,257.4,2,2374,72,Apr-19,32.97,9.21,21.4,1,0,200,1075,10.75,6.980075940561763,5.375,0.8,0.9863013698630136,0.0,3.5260273972602736,True,True,0,0,India,0,1,-0.919585736919085,0.4718587330619093,0.2631420625647601,Medium,3,High-performing but Expensive,-1.302
T Vijay,India,All-rounder,Delhi Capitals,2026-2026,1,0,0,0,,False,,0,,0,0,0,0,0,1,2.0,0,29,0,,,14.5,,0,0,30,30,0.3,3.4011973816621555,1.0,,0.0,,2.0,False,True,0,1,India,0,0,,-1.1106304051599212,-1.1106304051599212,Low,1,Low-cost / Low-impact,-0.52
TA Boult,New Zealand,Bowler,Mumbai Indians,2015-2026,125,31,21,93,17.0,True,9.3,85,109.41,0,0,3,5,4,124,463.2,11,3935,145,Apr-18,27.13,8.49,19.1,2,0,200,1250,12.5,7.1308988302963465,6.25,3.0,1.16,0.1058823529411764,3.7056,True,True,1,0,Overseas,0,2,-0.4906528066298847,1.2067217287205578,0.9521155484179914,High,3,High-performing but Expensive,-0.43
TH David,Australia,All-rounder,Royal Challengers Bengaluru,2021-2026,66,59,24,1151,70.0,True,32.88,650,177.07,0,2,4,76,83,1,1.0,0,18,0,,,18.0,,0,0,200,300,3.0,5.703782474656201,1.5,19.508474576271187,0.0,0.2446153846153846,0.0151515151515151,True,True,1,0,Overseas,2,0,0.6649847265831543,-1.3687513073570228,-0.2501964886899253,Low,2,Fair-value Mid-market,-1.056
TU Deshpande,India,Bowler,Rajasthan Royals,2020-2026,53,10,6,54,25.0,False,13.5,36,150.0,0,0,0,2,4,53,183.5,0,1858,55,Apr-27,33.78,10.1,20.0,1,0,100,650,6.5,6.476972362889683,6.5,5.4,1.0377358490566038,0.1666666666666666,3.462264150943396,True,True,0,0,India,0,1,-0.1978059857920259,0.3269806079974373,0.2482626189290178,Medium,3,High-performing but Expensive,-0.936
Umran Malik,India,Bowler,Kolkata Knight Riders,2021-2024,26,6,4,23,19.0,True,11.5,16,143.75,0,0,2,1,2,26,82.1,1,772,29,May-25,26.62,9.39,17.0,1,1,75,75,0.75,4.31748811353631,1.0,3.8333333333333335,1.1153846153846154,0.1875,3.157692307692308,True,True,0,0,India,0,2,-0.2404090570029344,0.3884771984646503,0.2941442601445125,Medium,2,Fair-value Mid-market,0.789
