Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
Akash Deep,India,Bowler,Lucknow Super Giants,2022-2025,14,5,2,25,17.0,False,8.33,14,178.57,0,0,2,2,2,14,46.2,1,548,10,Mar-45,54.8,11.82,27.8,0,0,100,800,8.0,6.684611727667927,8.0,5.0,0.7142857142857143,0.2857142857142857,3.3000000000000003,True,True,0,0,India,0,0,0.0609949606952382,-0.5187272420585664,-0.4317689116454956,Low,3,High-performing but Expensive,-2.071
Akash Singh,India,Bowler,Lucknow Super Giants,2021-2026,12,0,0,0,,False,,0,,0,0,0,0,0,12,41.1,0,406,13,Mar-26,31.23,9.86,19.0,0,0,30,30,0.3,3.4011973816621555,1.0,,1.0833333333333333,,3.4250000000000003,False,True,0,0,India,0,0,,0.049834380405958,0.049834380405958,Medium,1,Low-cost / Low-impact,1.143
Anuj Rawat,India,Wicket-keeper,Gujarat Titans,2021-2024,24,21,5,318,66.0,False,19.87,267,119.1,0,1,4,26,14,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,15.142857142857142,0.0,0.149812734082397,0.0,True,False,0,0,India,1,0,-0.0275397648553467,,-0.0275397648553467,Medium,1,Low-cost / Low-impact,1.032
Arshad Khan,India,All-rounder,Gujarat Titans,2023-2026,27,14,7,147,58.0,True,21.0,99,148.48,0,1,1,7,11,25,62.4,0,693,18,Mar-22,38.5,11.05,20.8,0,0,30,130,1.3,4.867534450455582,4.333333333333333,10.5,0.6666666666666666,0.1818181818181818,2.311111111111111,True,True,0,0,India,1,0,-0.0237016335217792,-0.286907435074989,-0.1421442442207236,Low,2,Fair-value Mid-market,-0.259
Arshdeep Singh,India,Bowler,Punjab Kings,2019-2026,96,15,9,32,10.0,True,5.33,47,68.08,0,0,3,4,0,95,338.4,2,3111,111,May-32,28.02,9.18,18.3,2,1,200,1800,18.0,7.495541943884256,9.0,2.1333333333333333,1.15625,0.0851063829787234,3.525,True,True,0,0,India,0,3,-0.7204813766525884,1.0075417884697846,0.7483383137014286,High,3,High-performing but Expensive,-1.003
Ashok Sharma,India,Bowler,Rajasthan Royals,2026-2026,6,2,2,1,1.0,True,,4,25.0,0,0,0,0,0,6,21.0,0,228,6,Feb-32,38.0,10.85,21.0,0,0,30,30,0.3,3.4011973816621555,1.0,0.5,1.0,0.0,3.5,True,True,0,1,India,0,0,-1.055777526889985,-0.1673769898806958,-0.3006370704320892,Low,1,Low-cost / Low-impact,0.641
Ashwani Kumar,India,Bowler,Mumbai Indians,2025-2026,10,1,1,1,1.0,True,,6,16.66,0,0,0,0,0,10,30.3,0,334,17,Apr-24,19.64,10.95,10.7,2,0,30,30,0.3,3.4011973816621555,1.0,1.0,1.7,0.0,3.03,True,True,0,0,India,0,2,-1.0768769066747796,0.5953817792937887,0.3445429763985034,Medium,1,Low-cost / Low-impact,1.566
Avesh Khan,India,Bowler,Lucknow Super Giants,2017-2026,83,18,14,68,19.0,True,17.0,43,158.13,0,0,1,7,4,82,294.3,1,2734,93,Apr-24,29.39,9.28,19.0,1,0,200,975,9.75,6.882437470997847,4.875,3.7777777777777777,1.120481927710843,0.2558139534883721,3.545783132530121,True,True,0,0,India,0,1,-0.079822414833911,0.7086750073256423,0.5904003940017092,High,3,High-performing but Expensive,-0.758
Azmatullah Omarzai,Afghanistan,All-rounder,Punjab Kings,2024-2026,19,11,1,151,38.0,False,15.1,101,149.5,0,0,0,11,10,18,59.0,0,568,15,Feb-27,37.86,9.62,23.6,0,0,150,240,2.4,5.480638923341991,1.6,13.727272727272728,0.7894736842105263,0.2079207920792079,3.1052631578947367,True,True,1,0,Overseas,0,0,0.0836970934579451,-0.1443323557125951,-0.0189161586687979,Medium,2,Fair-value Mid-market,-0.553
B Kumar,India,Bowler,Royal Challengers Bengaluru,2011-2026,206,78,40,354,27.0,False,9.31,377,93.89,0,0,6,34,4,206,766.4,14,5913,226,May-19,26.16,7.71,20.3,3,2,200,1075,10.75,6.980075940561763,5.375,4.538461538461538,1.0970873786407769,0.1007957559681697,3.720388349514563,True,True,0,0,India,0,5,-0.4548272361093137,1.967202431061143,1.603897980985574,High,0,Undervalued / High-value,0.62
